game,480p,720p,1080i,16x9,480p_patches,720p_patches,16:9_patches,issue_num,issue_desc,fix_num,fix_desc,Game Available,Prebuilt Patch,480p patch,16:9 patch,720p patch,720p 16:9 patch,Game Specific patches
Tom Clancy's Rainbow Six 3: Black Arrow,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,,NA,y,y,y,partial
Tom Clancy's Splinter Cell,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Tom Clancy's Splinter Cell: Pandora Tomorrow,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Top Gear RPM Tuning,?,,,,,,,,,EXTERNAL LIST,EXTERNAL LSIT,n,y,,y,y,y,n
Tron 2.0 Killer App,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,n,y,n,n
Turok: Evolution,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
Ultimate Spider-Man,n,n,,No,y,,?,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,y,,y,y,y,n
Unreal Championship,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
Van Helsing,y,n,,,NA,y,n,,,22,Working by force default.xbe to display the game in 720p (by using hex codes) and also widescreen (may need RAM or CPU upgrade to work and still might show minor graphical bugs),y,,NA,y,y,y,n
Vietcong – Purple Haze,?,,,,,,,,,EXTERNAL LIST,EXTERNAL LSIT,n,y,,y,y,y,n
Whiplash,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
WinBack2 – Project Possidon,?,,,,,,,,,EXTERNAL LIST,EXTERNAL LSIT,n,y,,y,y,y,n
Wreckless: The Yakuza Missions,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,n
XGRA,y,n,,No,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,y,NA,y,y,y,n
XIII,y,n,,,NA,,y,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,y,,NA,y,y,y,y
Xyanide,n,n,,No,y,,?,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,y,,y,y,y,n
Yetisports Artic Adventures,n,n,,No,y,,?,,,18,Working by force default.xbe to display the game in 480p (by using hex codes) and also widescreen ,n,y,,y,y,y,n
